representation,group,family,population,seed,value,baseline,difference,measure
mcndroid-static,contrast-macro,,federation-wide,331,0.8808956989226989,0.9513848939951363,-0.07048919507243741,central-full-exposure-recall
mcndroid-static,contrast-macro,,federation-wide,332,0.7239483415307585,0.7474238070804677,-0.02347546554970929,central-full-exposure-recall
mcndroid-static,contrast-macro,,federation-wide,333,0.7883349039236034,0.822482036339406,-0.034147132415802584,central-full-exposure-recall
mcndroid-static,contrast-macro,,federation-wide,334,0.604818301593246,0.6000875019037399,0.004730799689506071,central-full-exposure-recall
mcndroid-static,contrast-macro,,federation-wide,335,0.5433945519631254,0.6279318157712125,-0.08453726380808711,central-full-exposure-recall
mcndroid-static,contrast-macro,,federation-wide,336,0.6759113701079378,0.7025461384799282,-0.026634768371990487,central-full-exposure-recall
mcndroid-static,contrast-macro,,federation-wide,337,0.7211886428899579,0.7744456114589183,-0.05325696856896056,central-full-exposure-recall
mcndroid-static,contrast-macro,,federation-wide,338,0.7050519920892064,0.7369237767098021,-0.031871784620595645,central-full-exposure-recall
mcndroid-static,contrast-macro,,federation-wide,339,0.5448608792084498,0.519782909503437,0.025077969705012915,central-full-exposure-recall
mcndroid-static,contrast-macro,,own-domain,330,0.8083683199316871,0.7639175502265234,0.04445076970516382,central-full-exposure-recall
mcndroid-static,contrast-macro,,own-domain,331,0.8168756699314788,0.825312583501488,-0.008436913570009197,central-full-exposure-recall
mcndroid-static,contrast-macro,,own-domain,332,0.8631811959832839,0.8769346212372607,-0.013753425253976825,central-full-exposure-recall
mcndroid-static,contrast-macro,,own-domain,333,0.7875,0.817857142857143,-0.03035714285714286,central-full-exposure-recall
mcndroid-static,contrast-macro,,own-domain,334,0.764957112631324,0.600568708900557,0.16438840373076694,central-full-exposure-recall
mcndroid-static,contrast-macro,,own-domain,335,0.8529775396661858,0.8020697392220162,0.050907800444169704,central-full-exposure-recall
mcndroid-static,contrast-macro,,own-domain,336,0.96875,0.96875,0.0,central-full-exposure-recall
mcndroid-static,contrast-macro,,own-domain,337,0.7371570899635097,0.7230798641667469,0.014077225796762849,central-full-exposure-recall
mcndroid-static,contrast-macro,,own-domain,338,0.8055115616091226,0.8792102206736353,-0.07369865906451273,central-full-exposure-recall
mcndroid-static,contrast-macro,,own-domain,339,0.7560350907453685,0.6922622813219176,0.06377280942345087,central-full-exposure-recall
mcndroid-static,family,adwo,federation-wide,330,0.9878048780487805,0.9847560975609756,0.0030487804878048808,central-full-exposure-recall
mcndroid-static,family,adwo,federation-wide,331,0.7866242038216561,0.15286624203821655,0.6337579617834396,central-full-exposure-recall
mcndroid-static,family,adwo,federation-wide,332,0.7870967741935484,0.3903225806451613,0.3967741935483871,central-full-exposure-recall
mcndroid-static,family,adwo,federation-wide,333,0.6646884272997032,0.3827893175074184,0.28189910979228483,central-full-exposure-recall
mcndroid-static,family,adwo,federation-wide,334,0.5558659217877095,0.25139664804469275,0.3044692737430168,central-full-exposure-recall
mcndroid-static,family,adwo,federation-wide,335,0.6873385012919897,0.3798449612403101,0.3074935400516796,central-full-exposure-recall
mcndroid-static,family,adwo,federation-wide,336,0.8046875,0.515625,0.2890625,central-full-exposure-recall
mcndroid-static,family,adwo,federation-wide,337,0.7633587786259542,0.17938931297709923,0.583969465648855,central-full-exposure-recall
mcndroid-static,family,adwo,federation-wide,338,0.639344262295082,0.15737704918032788,0.4819672131147541,central-full-exposure-recall
mcndroid-static,family,adwo,federation-wide,339,0.9529780564263323,0.9529780564263323,0.0,central-full-exposure-recall
mcndroid-static,family,adwo,own-domain,331,0.7714285714285715,0.21428571428571427,0.5571428571428572,central-full-exposure-recall
mcndroid-static,family,adwo,own-domain,332,0.7627118644067796,0.3516949152542373,0.41101694915254233,central-full-exposure-recall
mcndroid-static,family,adwo,own-domain,333,0.6395759717314488,0.3745583038869258,0.26501766784452296,central-full-exposure-recall
mcndroid-static,family,adwo,own-domain,334,0.5166666666666667,0.22333333333333333,0.2933333333333334,central-full-exposure-recall
mcndroid-static,family,adwo,own-domain,335,0.6853582554517134,0.367601246105919,0.3177570093457944,central-full-exposure-recall
mcndroid-static,family,adwo,own-domain,336,0.8620689655172413,0.5517241379310345,0.31034482758620685,central-full-exposure-recall
mcndroid-static,family,adwo,own-domain,337,0.8867924528301887,0.2641509433962264,0.6226415094339623,central-full-exposure-recall
